Date,Time,Contracts,Funding Rate
2021/10/20,08:00:00,BTCUSDT Perpetual,0.01
2021/10/20,16:00:00,BTCUSDT Perpetual,0.01
2021/10/21,00:00:00,BTCUSDT Perpetual,0.06
2021/10/21,08:00:00,BTCUSDT Perpetual,0.07
2021/10/21,16:00:00,BTCUSDT Perpetual,0.06
2021/10/22,00:00:00,BTCUSDT Perpetual,0.06
2021/10/22,08:00:00,BTCUSDT Perpetual,0.03
2021/10/22,16:00:00,BTCUSDT Perpetual,0.02
2021/10/23,00:00:00,BTCUSDT Perpetual,0.03
2021/10/23,08:00:00,BTCUSDT Perpetual,0.03
2021/10/23,16:00:00,BTCUSDT Perpetual,0.01
2021/10/24,00:00:00,BTCUSDT Perpetual,0.02
2021/10/24,08:00:00,BTCUSDT Perpetual,0.03
2021/10/24,16:00:00,BTCUSDT Perpetual,0.04
2021/10/25,00:00:00,BTCUSDT Perpetual,0.03
2021/10/25,08:00:00,BTCUSDT Perpetual,0.05
2021/10/25,16:00:00,BTCUSDT Perpetual,0.02
2021/10/26,00:00:00,BTCUSDT Perpetual,0.02
2021/10/26,08:00:00,BTCUSDT Perpetual,0.04
2021/10/26,16:00:00,BTCUSDT Perpetual,0.06
2021/10/27,00:00:00,BTCUSDT Perpetual,0.06
2021/10/27,08:00:00,BTCUSDT Perpetual,0.03
2021/10/27,16:00:00,BTCUSDT Perpetual,0.03
2021/10/28,00:00:00,BTCUSDT Perpetual,0.02
2021/10/28,08:00:00,BTCUSDT Perpetual,0.02
2021/10/28,16:00:00,BTCUSDT Perpetual,0.01
2021/10/29,00:00:00,BTCUSDT Perpetual,0.01
2021/10/29,08:00:00,BTCUSDT Perpetual,0.02
2021/10/29,16:00:00,BTCUSDT Perpetual,0.02
2021/10/30,00:00:00,BTCUSDT Perpetual,0.02
2021/10/30,08:00:00,BTCUSDT Perpetual,0.02
2021/10/30,16:00:00,BTCUSDT Perpetual,0.04
2021/10/31,00:00:00,BTCUSDT Perpetual,0.02
2021/10/31,08:00:00,BTCUSDT Perpetual,0.02
2021/10/31,16:00:00,BTCUSDT Perpetual,0.05
2021/11/1,00:00:00,BTCUSDT Perpetual,0.04
2021/11/1,08:00:00,BTCUSDT Perpetual,0.03
2021/11/1,16:00:00,BTCUSDT Perpetual,0.03
2021/11/2,00:00:00,BTCUSDT Perpetual,0.06
2021/11/2,08:00:00,BTCUSDT Perpetual,0.02
2021/11/2,16:00:00,BTCUSDT Perpetual,0.03
2021/11/3,00:00:00,BTCUSDT Perpetual,0.05
2021/11/3,08:00:00,BTCUSDT Perpetual,0.08
2021/11/3,16:00:00,BTCUSDT Perpetual,0.04
2021/11/4,00:00:00,BTCUSDT Perpetual,0.03
2021/11/4,08:00:00,BTCUSDT Perpetual,0.05
2021/11/4,16:00:00,BTCUSDT Perpetual,0.05
2021/11/5,00:00:00,BTCUSDT Perpetual,0.05
2021/11/5,08:00:00,BTCUSDT Perpetual,0.02
2021/11/5,16:00:00,BTCUSDT Perpetual,0.02
2021/11/6,00:00:00,BTCUSDT Perpetual,0.04
2021/11/6,08:00:00,BTCUSDT Perpetual,0.05
2021/11/6,16:00:00,BTCUSDT Perpetual,0.05
2021/11/7,00:00:00,BTCUSDT Perpetual,0.04
2021/11/7,08:00:00,BTCUSDT Perpetual,0.02
2021/11/7,16:00:00,BTCUSDT Perpetual,0.04
2021/11/8,00:00:00,BTCUSDT Perpetual,0.04
2021/11/8,08:00:00,BTCUSDT Perpetual,0.03
2021/11/8,16:00:00,BTCUSDT Perpetual,0.05
2021/11/9,00:00:00,BTCUSDT Perpetual,0.05
2021/11/9,08:00:00,BTCUSDT Perpetual,0.04
2021/11/9,16:00:00,BTCUSDT Perpetual,0.04
2021/11/10,00:00:00,BTCUSDT Perpetual,0.07
2021/11/10,08:00:00,BTCUSDT Perpetual,0.04
2021/11/10,16:00:00,BTCUSDT Perpetual,0.07
2021/11/11,00:00:00,BTCUSDT Perpetual,0.06
2021/11/11,08:00:00,BTCUSDT Perpetual,0.02
2021/11/11,16:00:00,BTCUSDT Perpetual,0.01
2021/11/12,00:00:00,BTCUSDT Perpetual,0.02
2021/11/12,08:00:00,BTCUSDT Perpetual,0.02
2021/11/12,16:00:00,BTCUSDT Perpetual,0.04
2021/11/13,00:00:00,BTCUSDT Perpetual,0.04
2021/11/13,08:00:00,BTCUSDT Perpetual,0.02
2021/11/13,16:00:00,BTCUSDT Perpetual,0.03
2021/11/14,00:00:00,BTCUSDT Perpetual,0.02
2021/11/14,08:00:00,BTCUSDT Perpetual,0.01
2021/11/14,16:00:00,BTCUSDT Perpetual,0.01
2021/11/15,00:00:00,BTCUSDT Perpetual,0.01
2021/11/15,08:00:00,BTCUSDT Perpetual,0.02
2021/11/15,16:00:00,BTCUSDT Perpetual,0.02
2021/11/16,00:00:00,BTCUSDT Perpetual,0.04
2021/11/16,08:00:00,BTCUSDT Perpetual,0.04
2021/11/16,16:00:00,BTCUSDT Perpetual,0.01
2021/11/17,00:00:00,BTCUSDT Perpetual,0.01
2021/11/17,08:00:00,BTCUSDT Perpetual,0.01
2021/11/17,16:00:00,BTCUSDT Perpetual,0.01
2021/11/18,00:00:00,BTCUSDT Perpetual,0.01
2021/11/18,08:00:00,BTCUSDT Perpetual,0.01
2021/11/18,16:00:00,BTCUSDT Perpetual,0.01
2021/11/19,00:00:00,BTCUSDT Perpetual,0.01
2021/11/19,08:00:00,BTCUSDT Perpetual,0.01
2021/11/19,16:00:00,BTCUSDT Perpetual,0.01
2021/11/20,00:00:00,BTCUSDT Perpetual,0.01
2021/11/20,08:00:00,BTCUSDT Perpetual,0.01
2021/11/20,16:00:00,BTCUSDT Perpetual,0.01
2021/11/21,00:00:00,BTCUSDT Perpetual,0.01
2021/11/21,08:00:00,BTCUSDT Perpetual,0.01
2021/11/21,16:00:00,BTCUSDT Perpetual,0.01
2021/11/22,00:00:00,BTCUSDT Perpetual,0.01
2021/11/22,08:00:00,BTCUSDT Perpetual,0.01
2021/11/22,16:00:00,BTCUSDT Perpetual,0.01
2021/11/23,00:00:00,BTCUSDT Perpetual,0.01
2021/11/23,08:00:00,BTCUSDT Perpetual,0.01
2021/11/23,16:00:00,BTCUSDT Perpetual,0.01
2021/11/24,00:00:00,BTCUSDT Perpetual,0.01
2021/11/24,08:00:00,BTCUSDT Perpetual,0.01
2021/11/24,16:00:00,BTCUSDT Perpetual,0.01
2021/11/25,00:00:00,BTCUSDT Perpetual,0.01
2021/11/25,08:00:00,BTCUSDT Perpetual,0.01
2021/11/25,16:00:00,BTCUSDT Perpetual,0.02
2021/11/26,00:00:00,BTCUSDT Perpetual,0.01
2021/11/26,08:00:00,BTCUSDT Perpetual,0.01
2021/11/26,16:00:00,BTCUSDT Perpetual,0.03
2021/11/27,00:00:00,BTCUSDT Perpetual,0.01
2021/11/27,08:00:00,BTCUSDT Perpetual,0.01
2021/11/27,16:00:00,BTCUSDT Perpetual,0.01
2021/11/28,00:00:00,BTCUSDT Perpetual,0.01
2021/11/28,08:00:00,BTCUSDT Perpetual,0.01
2021/11/28,16:00:00,BTCUSDT Perpetual,0.01
2021/11/29,00:00:00,BTCUSDT Perpetual,0.01
2021/11/29,08:00:00,BTCUSDT Perpetual,0.01
2021/11/29,16:00:00,BTCUSDT Perpetual,0.01
2021/11/30,00:00:00,BTCUSDT Perpetual,0.02
2021/11/30,08:00:00,BTCUSDT Perpetual,0.03
2021/11/30,16:00:00,BTCUSDT Perpetual,0.01
2021/12/1,00:00:00,BTCUSDT Perpetual,0.01
2021/12/1,08:00:00,BTCUSDT Perpetual,0.01
2021/12/1,16:00:00,BTCUSDT Perpetual,0.03
2021/12/2,00:00:00,BTCUSDT Perpetual,0.01
2021/12/2,08:00:00,BTCUSDT Perpetual,0.02
2021/12/2,16:00:00,BTCUSDT Perpetual,0.01
2021/12/3,00:00:00,BTCUSDT Perpetual,0.01
2021/12/3,08:00:00,BTCUSDT Perpetual,0.01
2021/12/3,16:00:00,BTCUSDT Perpetual,0.01
2021/12/4,00:00:00,BTCUSDT Perpetual,0.03
2021/12/4,08:00:00,BTCUSDT Perpetual,0.01
2021/12/4,16:00:00,BTCUSDT Perpetual,0.01
2021/12/5,00:00:00,BTCUSDT Perpetual,0.0
2021/12/5,08:00:00,BTCUSDT Perpetual,0.01
2021/12/5,16:00:00,BTCUSDT Perpetual,0.01
2021/12/6,00:00:00,BTCUSDT Perpetual,0.01
2021/12/6,08:00:00,BTCUSDT Perpetual,0.01
2021/12/6,16:00:00,BTCUSDT Perpetual,0.01
2021/12/7,00:00:00,BTCUSDT Perpetual,0.01
2021/12/7,08:00:00,BTCUSDT Perpetual,0.01
2021/12/7,16:00:00,BTCUSDT Perpetual,0.0
2021/12/8,00:00:00,BTCUSDT Perpetual,0.01
2021/12/8,08:00:00,BTCUSDT Perpetual,0.01
2021/12/8,16:00:00,BTCUSDT Perpetual,0.01
2021/12/9,00:00:00,BTCUSDT Perpetual,0.01
2021/12/9,08:00:00,BTCUSDT Perpetual,0.01
2021/12/9,16:00:00,BTCUSDT Perpetual,0.01
2021/12/10,00:00:00,BTCUSDT Perpetual,0.01
2021/12/10,08:00:00,BTCUSDT Perpetual,0.01
2021/12/10,16:00:00,BTCUSDT Perpetual,0.01
2021/12/11,00:00:00,BTCUSDT Perpetual,0.01
2021/12/11,08:00:00,BTCUSDT Perpetual,0.01
2021/12/11,16:00:00,BTCUSDT Perpetual,0.01
2021/12/12,00:00:00,BTCUSDT Perpetual,0.01
2021/12/12,08:00:00,BTCUSDT Perpetual,0.01
2021/12/12,16:00:00,BTCUSDT Perpetual,0.01
2021/12/13,00:00:00,BTCUSDT Perpetual,0.01
2021/12/13,08:00:00,BTCUSDT Perpetual,0.01
2021/12/13,16:00:00,BTCUSDT Perpetual,0.01
2021/12/14,00:00:00,BTCUSDT Perpetual,0.01
2021/12/14,08:00:00,BTCUSDT Perpetual,0.0
2021/12/14,16:00:00,BTCUSDT Perpetual,0.01
2021/12/15,00:00:00,BTCUSDT Perpetual,0.01
2021/12/15,08:00:00,BTCUSDT Perpetual,0.01
2021/12/15,16:00:00,BTCUSDT Perpetual,0.01
2021/12/16,00:00:00,BTCUSDT Perpetual,0.01
2021/12/16,08:00:00,BTCUSDT Perpetual,0.01
2021/12/16,16:00:00,BTCUSDT Perpetual,0.01
2021/12/17,00:00:00,BTCUSDT Perpetual,0.01
2021/12/17,08:00:00,BTCUSDT Perpetual,0.01
2021/12/17,16:00:00,BTCUSDT Perpetual,0.01
2021/12/18,00:00:00,BTCUSDT Perpetual,0.0
2021/12/18,08:00:00,BTCUSDT Perpetual,0.01
2021/12/18,16:00:00,BTCUSDT Perpetual,0.01
2021/12/19,00:00:00,BTCUSDT Perpetual,0.01
2021/12/19,08:00:00,BTCUSDT Perpetual,0.01
2021/12/19,16:00:00,BTCUSDT Perpetual,0.01
2021/12/20,00:00:00,BTCUSDT Perpetual,0.01
2021/12/20,08:00:00,BTCUSDT Perpetual,0.01
2021/12/20,16:00:00,BTCUSDT Perpetual,0.01
2021/12/21,00:00:00,BTCUSDT Perpetual,0.01
2021/12/21,08:00:00,BTCUSDT Perpetual,0.01
2021/12/21,16:00:00,BTCUSDT Perpetual,0.01
2021/12/22,00:00:00,BTCUSDT Perpetual,0.01
2021/12/22,08:00:00,BTCUSDT Perpetual,0.01
2021/12/22,16:00:00,BTCUSDT Perpetual,0.01
2021/12/23,00:00:00,BTCUSDT Perpetual,0.01
2021/12/23,08:00:00,BTCUSDT Perpetual,0.01
2021/12/23,16:00:00,BTCUSDT Perpetual,0.01
2021/12/24,00:00:00,BTCUSDT Perpetual,0.0
2021/12/24,08:00:00,BTCUSDT Perpetual,0.01
2021/12/24,16:00:00,BTCUSDT Perpetual,0.01
2021/12/25,00:00:00,BTCUSDT Perpetual,0.01
2021/12/25,08:00:00,BTCUSDT Perpetual,0.01
2021/12/25,16:00:00,BTCUSDT Perpetual,0.01
2021/12/26,00:00:00,BTCUSDT Perpetual,0.01
2021/12/26,08:00:00,BTCUSDT Perpetual,0.01
